title,description,location,longitude,latitude,icon
Community Garden,Opened in 2014 in a collaboration with Engineers for a Sustainable World the garden was built with sustainability envisioned to be enjoyed by all,Null,-120.42895,37.364474,Null
Produce On The Go,A Van that visits UC Merced that sells fresh local produce at a reduced cost,Null,-120.424127,37.367018,Null
Pop Up Produce,Produce on the Go. Delivering healthy fruits vegetables and dairy products that are affordable delicious and nutritious to Merced County residents.,Null,-120.424303,37.366002,Null
